State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.20492	1.20356	1.19812	1.19880	1.18386	1.18182	1.19744	1.20695	1.22393	1.23140	1.21918	1.20016	1.19744	1.18929	1.18454	1.17843	1.17096	1.17707	1.18046	1.18046	1.18250
2	0.66622	0.66736	0.66755	0.66782	0.66919	0.66997	0.66791	0.66855	0.66970	0.67121	0.67566	0.68083	0.68537	0.69142	0.69641	0.70085	0.70534	0.70832	0.71341	0.71703	0.72124
3	2.23642	2.23447	2.23331	2.22786	2.23915	2.24810	2.24031	2.26094	2.26717	2.29325	2.32866	2.36330	2.43064	2.46372	2.48746	2.50770	2.50770	2.50303	2.50070	2.49097	2.47618
4	4.66834	4.71055	4.71055	4.75437	4.75924	4.75275	4.74463	4.66672	4.60829	4.48654	4.27715	4.10509	3.82590	3.62300	3.42497	3.24154	3.07922	2.94287	2.79516	2.69939	2.57441
5	1.17903	1.16484	1.16265	1.14628	1.12990	1.11025	1.08733	1.05021	1.01200	0.97379	0.95851	0.94104	0.94213	0.92685	0.91593	0.90829	0.91266	0.91702	0.89737	0.92139	0.93667
6	1.99454	1.89522	1.89522	1.94074	1.88695	1.94488	1.99454	1.97385	2.03178	1.95729	1.83729	1.85798	1.65522	1.57659	1.51866	1.46073	1.36969	1.44831	1.49383	1.44004	1.39866
7	1.28265	1.32583	1.36001	1.37980	1.35101	1.34742	1.50932	1.54890	1.57948	1.63525	1.65504	1.63885	1.64424	1.60107	1.49673	1.50932	1.54350	1.53990	1.55429	1.53451	1.54350
8	1.18256	1.14909	1.17884	1.21603	1.27553	1.36106	1.42799	1.47262	1.55443	1.59534	1.59906	1.50981	1.44287	1.44287	1.47262	1.42427	1.48749	1.52840	1.53584	1.46890	1.45774
9	4.44369	4.43222	4.38635	4.27167	4.17993	4.00792	3.84737	3.66389	3.56068	3.36574	3.14785	2.94717	2.95290	2.87263	2.88983	2.94717	2.89556	2.87263	2.70062	2.83249	2.86690
10	3.76875	3.60382	3.52135	3.38116	3.41414	3.24921	3.05129	3.08427	2.83687	2.91109	3.14200	3.23272	2.95233	2.87811	3.12551	3.04304	3.07603	3.02655	3.09252	3.10902	3.17499
