State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.50592	2.50712	2.50172	2.48973	2.46575	2.43218	2.30928	2.13243	1.95078	1.85666	1.82668	1.80930	1.86086	1.96397	2.05869	2.12644	2.16720	2.19778	2.18938	2.16660	2.13843
2	0.75161	0.74494	0.73338	0.71570	0.68695	0.64546	0.59184	0.52738	0.46579	0.43881	0.42696	0.41770	0.42478	0.43655	0.45523	0.47739	0.49644	0.50999	0.52208	0.53025	0.53854
3	1.12131	1.08215	1.04230	0.98115	0.90832	0.80732	0.71971	0.59810	0.49676	0.45828	0.45038	0.44351	0.46275	0.49641	0.54588	0.63074	0.75098	0.87156	0.98802	1.10310	1.19620
4	0.47853	0.42552	0.38683	0.36391	0.32809	0.32666	0.31090	0.31520	0.32093	0.32666	0.33382	0.35388	0.37394	0.38110	0.39830	0.41979	0.41979	0.44271	0.50432	0.54587	0.60604
5	1.63134	1.53595	1.34805	1.12739	0.91637	0.74003	0.65524	0.60031	0.55984	0.54828	0.55213	0.54442	0.58008	0.61669	0.72847	1.02236	1.58316	2.34247	3.06226	3.72232	4.25903
6	4.15648	4.23318	4.19665	4.23318	3.68896	2.87082	1.97962	1.56690	1.31488	1.20165	1.20896	1.15417	1.26009	1.69473	3.52460	7.07477	10.46424	12.33428	12.83467	12.61187	11.85947
7	1.78632	1.82602	1.97528	2.22616	2.48497	2.70568	2.55802	2.42622	1.80538	1.44017	1.07179	0.89078	0.84473	0.96223	1.17500	1.38777	1.59102	1.69105	1.55767	1.46717	1.39730
8	1.66086	1.79216	1.85780	1.84139	2.05146	2.26153	2.58976	2.64885	2.39939	1.73964	1.30637	1.17179	1.02409	0.91905	0.97814	0.95516	0.90921	0.86325	0.90264	0.90264	0.88951
9	5.87067	7.04481	8.77564	10.87087	13.96309	18.16872	23.33593	29.73294	36.07934	35.64410	35.99836	50.47261	53.69136	52.86137	48.40269	40.36088	31.75731	24.40378	18.84689	14.58559	11.95391
10	4.36738	5.05888	6.42005	8.62557	12.39607	17.85530	25.86943	34.68426	45.17324	56.03346	60.75750	43.15697	36.17645	31.80179	26.96856	21.59668	15.67889	10.95484	8.18155	6.33998	4.49112
