State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	5.11891	3.36481	1.14095	0.82557	1.21931	1.82674	2.27362	1.02780
2	75.88564	0.33041	0.58254	0.77349	0.67563	0.42698	0.59091	1.17111
3	8.93291	0.46555	2.31822	2.00471	2.32891	0.45039	0.77821	0.35573
4	2.14194	0.07144	5.72050	2.14089	4.27760	0.33383	0.42844	0.22128
5	3.18479	0.55302	1.28248	2.28954	0.95751	0.55215	1.25368	0.13155
6	0.84021	0.33638	1.80676	2.25633	1.83748	1.20899	4.35109	0.12272
7	1.93269	0.38068	1.33797	1.26665	1.65521	1.07183	1.69896	0.53125
8	0.93494	0.40236	1.32034	1.32600	1.59922	1.30641	1.56220	0.41077
9	0.60637	41.45293	7.38602	1.92415	3.14818	35.99441	23.38881	0.18777
10	0.42160	59.53240	7.33026	1.28538	3.14233	60.75937	21.52626	0.40383
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
