State (Emission order)	H3k4me1	H3k27ac	H3k9ac	H3k4me3	Pol2b	H3k79me2	H4k20me1	H3k9me1	H3k36me3	H3k27me3
1	0.005121825114012765	0.0014188164127246286	3.5141071511746153E-4	0.001116161975330068	0.021822233926125822	8.906147476275592E-5	0.004379512075289461	0.002928145497789855	4.6124817022908385E-4	0.3687014864803029
2	5.863500443286239E-4	0.0011393957510587565	1.4459760176343937E-4	1.3405161546007943E-4	0.01401000270924127	2.126067983003181E-5	8.497921038204248E-4	0.0011963752324955616	5.93169426355321E-4	0.004060247242848496
3	0.0024471693525491434	0.00480753912715153	5.044299896702803E-4	8.808642155255795E-5	0.04985304594746309	0.019686598273788606	0.005358126020854112	0.005367031377273981	0.03814602768044243	1.1637179822384591E-4
4	0.011023900354983419	0.017155201544300114	0.0020602888417462425	0.008127316200375049	0.1334475371324898	0.06363184307914732	0.02887995419020897	0.015153165465819605	0.47999415953507973	0.014437043863805598
5	0.026357746124794093	0.01075003673599672	0.0011618063911210555	2.3506171018346063E-4	0.07197941931874288	0.6999283504418402	0.06500903685135145	0.013993680961162712	0.09605860510184881	1.1170585247525204E-4
6	0.8697156695775338	0.33044695919773925	0.1181290541786442	0.14040751446984984	0.17306578933012298	0.8769507537261487	0.10179875136386571	0.036156440904989075	0.1669158104321287	0.008942260408091533
7	0.7633819663043319	0.16663743284695529	0.017313354372295767	0.005013615188889863	0.05761802157228917	0.010429211684534489	0.003134216690967573	0.006960941168690697	0.013686371941813902	0.0023084904789080368
8	0.9562903809656865	0.9738031858436602	0.5914173957768106	0.18621721654815038	0.20812341458601144	0.04117648369208851	0.0010726270846297466	0.0047349284417914994	0.015966941988474193	1.2198736074955365E-4
9	0.35949323337324296	0.7961381721462796	0.9764497555152981	0.9899668389719241	0.2855384489207486	0.6691939998475308	0.0205324413313052	0.0018124153973327847	0.02358885146480767	0.001331669640538491
10	0.25437749047968267	0.08423605350372818	0.3526145898007005	0.7168470784938756	0.04524499931125236	0.07479747019002847	5.949169540892728E-4	6.324397080571346E-4	0.0012118107986859097	0.04709938870062155
